startDate,startTime,endDate,endTime,sleepTime,sleepSeconds
2021-02-28,00:50,2021-02-28,04:30,3:40:00,13200
2021-03-05,04:00,2021-03-05,09:20,5:20:00,19200
2021-03-15,19:50,2021-03-16,02:50,7:00:00,25200
2021-03-17,00:20,2021-03-17,07:00,6:40:00,24000
2021-03-18,01:40,2021-03-18,08:50,7:10:00,25800
2021-03-19,03:30,2021-03-19,09:10,5:40:00,20400
2021-03-20,01:50,2021-03-20,08:30,6:40:00,24000
2021-03-21,00:30,2021-03-21,11:10,10:40:00,38400
2021-03-22,04:30,2021-03-22,13:50,9:20:00,33600
2021-03-30,05:10,2021-03-30,10:50,5:40:00,20400
2021-04-01,04:10,2021-04-01,11:20,7:10:00,25800
2021-04-02,04:40,2021-04-02,12:50,8:10:00,29400
2021-04-04,03:10,2021-04-04,11:00,7:50:00,28200
2021-04-05,03:20,2021-04-05,08:40,5:20:00,19200
2021-04-06,02:20,2021-04-06,11:00,8:40:00,31200
2021-04-07,03:10,2021-04-07,12:53,9:43:00,34980
2021-04-08,05:40,2021-04-08,14:20,8:40:00,31200
2021-04-09,05:00,2021-04-09,15:50,10:50:00,39000
2021-04-17,10:50,2021-04-17,18:40,7:50:00,28200
2021-05-06,23:00,2021-05-07,04:30,5:30:00,19800
2021-05-08,01:00,2021-05-08,04:30,3:30:00,12600
2021-05-21,04:50,2021-05-21,13:10,8:20:00,30000
2021-05-22,05:10,2021-05-22,10:40,5:30:00,19800
2021-05-23,00:10,2021-05-23,07:36,7:26:00,26760
2021-05-26,04:30,2021-05-26,10:10,5:40:00,20400
2021-05-27,04:00,2021-05-27,11:26,7:26:00,26760
2021-05-28,06:50,2021-05-28,13:40,6:50:00,24600
2021-05-30,02:10,2021-05-30,14:15,12:05:00,43500
2021-05-31,06:20,2021-05-31,15:20,9:00:00,32400
2021-06-01,06:20,2021-06-01,13:50,7:30:00,27000
2021-06-02,04:10,2021-06-02,10:00,5:50:00,21000
2021-06-03,08:50,2021-06-03,15:20,6:30:00,23400
2021-06-04,05:10,2021-06-04,14:12,9:02:00,32520
2021-06-05,06:20,2021-06-05,13:50,7:30:00,27000
2021-06-08,04:40,2021-06-08,13:40,9:00:00,32400
2021-06-10,02:30,2021-06-10,10:30,8:00:00,28800
2021-06-12,10:00,2021-06-12,16:10,6:10:00,22200
2021-06-13,05:40,2021-06-13,10:00,4:20:00,15600
2021-06-14,06:30,2021-06-14,12:20,5:50:00,21000
2021-06-15,04:50,2021-06-15,08:05,3:15:00,11700
2021-06-16,04:00,2021-06-16,10:20,6:20:00,22800
2021-06-17,07:00,2021-06-17,13:40,6:40:00,24000
2021-06-18,03:30,2021-06-18,13:00,9:30:00,34200
2021-06-20,05:40,2021-06-20,11:20,5:40:00,20400
2021-06-21,01:50,2021-06-21,09:00,7:10:00,25800
2021-06-22,03:40,2021-06-22,08:09,4:29:00,16140
2021-06-23,06:40,2021-06-23,10:10,3:30:00,12600
2021-06-24,06:00,2021-06-24,13:40,7:40:00,27600
2021-06-25,04:20,2021-06-25,13:10,8:50:00,31800
2021-06-26,03:10,2021-06-26,10:00,6:50:00,24600
2021-06-27,03:50,2021-06-27,12:40,8:50:00,31800
2021-06-28,02:30,2021-06-28,10:20,7:50:00,28200
2021-06-29,05:10,2021-06-29,09:56,4:46:00,17160
2021-06-30,04:30,2021-06-30,11:00,6:30:00,23400
2021-07-01,04:50,2021-07-01,11:20,6:30:00,23400
2021-07-02,05:10,2021-07-02,12:10,7:00:58.645000,25258
2021-07-03,04:30,2021-07-03,13:40,9:10:00,33000
2021-07-04,03:00,2021-07-04,10:30,7:30:00,27000
2021-07-05,06:20,2021-07-05,09:50,3:30:00,12600
2021-07-06,03:20,2021-07-06,12:20,9:00:00,32400
2021-07-08,04:50,2021-07-08,12:50,8:00:00,28800
2021-07-09,05:30,2021-07-09,13:40,8:10:00,29400
2021-07-10,04:10,2021-07-10,11:50,7:40:00,27600
2021-07-11,04:30,2021-07-11,10:20,5:50:00,21000
2021-07-12,03:10,2021-07-12,11:10,8:00:00,28800
2021-07-13,03:50,2021-07-13,10:40,6:50:00,24600
2021-07-14,04:40,2021-07-14,11:40,7:00:00,25200
2021-07-16,02:10,2021-07-16,10:50,8:40:00,31200
2021-07-17,03:40,2021-07-17,10:10,6:30:00,23400
2021-07-18,01:30,2021-07-18,09:40,8:10:00,29400
2021-07-19,04:00,2021-07-19,12:00,8:00:00,28800
2021-07-21,02:10,2021-07-21,06:20,4:10:00,15000
2021-07-23,02:30,2021-07-23,09:50,7:20:00,26400
2021-07-24,03:40,2021-07-24,10:50,7:10:00,25800
2021-07-25,01:40,2021-07-25,11:20,9:40:00,34800
2021-07-26,03:10,2021-07-26,12:10,9:00:00,32400
2021-07-29,04:20,2021-07-29,12:50,8:30:00,30600
2021-07-30,04:40,2021-07-30,12:40,8:00:00,28800
2021-07-31,01:10,2021-07-31,06:30,5:20:00,19200
2021-08-01,03:30,2021-08-01,08:50,5:20:00,19200
2021-08-03,02:40,2021-08-03,10:00,7:20:00,26400
2021-08-04,05:00,2021-08-04,09:20,4:20:00,15600
2021-08-05,04:20,2021-08-05,13:00,8:40:00,31200
2021-08-06,04:50,2021-08-06,13:16,8:26:00,30360
2021-08-07,05:00,2021-08-07,12:48,7:48:00,28080
2021-08-08,04:20,2021-08-08,12:20,8:00:00,28800
